1020,1553483258.356664
1020,1553483268.3651211
1020,1553483278.3700323
1020,1553483288.375563
1020,1553483298.383182
1020,1553483308.388417
1020,1553483318.3938057
1020,1553483377.2113624
1020,1553483387.2493865
1020,1553483397.2788956
1020,1553483407.3058574
1020,1553483417.3363109
1020,1553483427.3687346
10,1553600879.3020806
10,1553600889.4497015
10,1553600899.5957189
10,1553600909.7519386
10,1553600919.8792386
900,1553602635.905748
893,1553602657.569845
921,1553602842.6804135
915,1553602864.3515315
1017,1553602886.0095136
1014,1553602918.4558294
860,1553602985.7201371
868,1553604314.128011
862,1553604315.9550931
864,1553604317.793322
866,1553604319.6333125
865,1553604321.4641123
866,1553604323.294594
866,1553604325.1271126
864,1553604326.961244
862,1553604328.791637
860,1553604330.6187704
858,1553604332.457589
858,1553604334.287839
858,1553604336.1095827
861,1553604337.953986
864,1553604339.7734113
861,1553604341.615296
865,1553604343.4503875
860,1553604345.2809334
